sku,title,winery,variety,vintage,region,price,stock,image_url,product_url,description,tags,active
DEMO-WINE-011,Alta Vista 2016 Malbec Rosé (Mendoza),Alta,Rosé,2016,Mendoza,42000,25,/static/images/wines/demo-wine-011.png,https://www.demovinoteca.com.ar/productos/demo-wine-011,Aromas of dish soap and fruit salad show on the nose while the palate brings pink grapefruit and orange.,"rose, fresco, premium",False
DEMO-WINE-012,Zolo 2017 Sustainably Farmed Estate Grown and Bottled Rosé (Mendoza),Zolo,Rosé,2017,Mendoza,11500,25,/static/images/wines/demo-wine-012.png,https://www.demovinoteca.com.ar/productos/demo-wine-012,This youthful pink-colored number smells of dusty cherry and Lifesavers.,"rose, fresco",True
DEMO-WINE-013,François Lurton 2015 Piedra Negra Pinot Gris Alta Colección Rosado (Uco Valley),François,Rosado,2015,Uco Valley,19800,25,/static/images/wines/demo-wine-013.png,https://www.demovinoteca.com.ar/productos/demo-wine-013,"Salmon-colored and spritzy, this rosé of Pinot Grigio smells stony and peachy.","rose, fresco",True
DEMO-WINE-014,Caligiore 2010 Pianissimo Rosé (Mendoza),Caligiore,Rosé,2010,Mendoza,42000,25,/static/images/wines/demo-wine-014.png,https://www.demovinoteca.com.ar/productos/demo-wine-014,"Heavy and stalky smelling, with burnt aromas.","rose, fresco, premium",True
DEMO-WINE-015,Kaiken 2010 Rosé of Malbec Rosé (Mendoza),Kaiken,Rosé,2010,Mendoza,11500,25,/static/images/wines/demo-wine-015.png,https://www.demovinoteca.com.ar/productos/demo-wine-015,"Generic on the nose, with undistinguished aromas of red fruits and candy.","rose, fresco",True
DEMO-WINE-016,Zorzal 2016 Terroir Único Pinot Noir Rosé (Tupungato),Zorzal,Rosé,2016,Tupungato,19800,25,/static/images/wines/demo-wine-016.png,https://www.demovinoteca.com.ar/productos/demo-wine-016,This copper-tinted rosé of Pinot Noir smells like a rubber gym ball and citrus fruits.,"rose, fresco",True
DEMO-WINE-017,Doña Paula 2009 Los Cardos Rosé Malbec (Mendoza),Doña,Malbec,2009,Mendoza,68000,25,/static/images/wines/demo-wine-017.png,https://www.demovinoteca.com.ar/productos/demo-wine-017,Rosy pink and good for warm-climate getaways this winter.,"tinto, asado, premium",True
DEMO-WINE-018,Piattelli 2014 Premium Rosé of Malbec (Luján de Cuyo),Piattelli,Malbec,2014,Luján de Cuyo,14500,0,/static/images/wines/demo-wine-018.png,https://www.demovinoteca.com.ar/productos/demo-wine-018,"Aromas of powdered bubble gum, plum and chlorine aren't great, nor is the clamping, gritty feeling palate.","tinto, asado",True
DEMO-WINE-019,Melipal 2008 Rosé Malbec (Mendoza),Melipal,Malbec,2008,Mendoza,28000,25,/static/images/wines/demo-wine-019.png,https://www.demovinoteca.com.ar/productos/demo-wine-019,"Raspberry and cherry aromas are light and pleasing, while the palate exhibits those same friendly and inviting raspberry flavors along with some citrus.","tinto, asado",True
DEMO-WINE-020,Finca Sophenia 2006 Altosur Cabernet Sauvignon (Tupungato),Finca Sophenia,Cabernet Sauvignon,2006,Tupungato,38000,25,/static/images/wines/demo-wine-020.png,https://www.demovinoteca.com.ar/productos/demo-wine-020,"Rather sweet and medicinal; the wine comes into form on the palate, which is fairly bright and forward as it pushes raspberry and cherry flavors.","blanco, fresco, premium",True
DEMO-WINE-021,Michel Torino 2007 Coleccion Chardonnay (Calchaquí Valley),Michel,Chardonnay,2007,Calchaquí Valley,9500,25,/static/images/wines/demo-wine-021.png,https://www.demovinoteca.com.ar/productos/demo-wine-021,"Light, floral and somewhat out of the mold.","blanco, fresco",True
DEMO-WINE-022,Santa Julia 2007 Organica Chardonnay (Mendoza),Santa,Chardonnay,2007,Mendoza,22000,25,/static/images/wines/demo-wine-022.png,https://www.demovinoteca.com.ar/productos/demo-wine-022,"Round, nutty and smooth, with melon, citrus and apple flavors.","blanco, fresco",True
DEMO-WINE-023,Zolo 2017 Sustainably Farmed Estate Grown and Bottled Torrontés (Mendoza),Zolo,Torrontés,2017,Mendoza,38000,25,/static/images/wines/demo-wine-023.png,https://www.demovinoteca.com.ar/productos/demo-wine-023,Tropical aromas of lychee and honeydew set up a straightforward palate.,"blanco, fresco, premium",True
DEMO-WINE-024,Aymara 2015 Estate Torrontés (Maipú),Aymara,Torrontés,2015,Maipú,9500,25,/static/images/wines/demo-wine-024.png,https://www.demovinoteca.com.ar/productos/demo-wine-024,"Flat aromas of lanolin and oily white fruits lead to a round, full palate that's getting tired.","blanco, fresco",True
DEMO-WINE-025,Benvenuto de la Serna 2015 Mil Piedras Viognier (Vista Flores),Benvenuto,Viognier,2015,Vista Flores,22000,25,/static/images/wines/demo-wine-025.png,https://www.demovinoteca.com.ar/productos/demo-wine-025,"Lime and tangerine aromas are light and dusty, with a yeasty note.","blanco, fresco",True
DEMO-WINE-026,Cascada Peak 2012 Cabernet Sauvignon (Mendoza),Cascada,Cabernet Sauvignon,2012,Mendoza,38000,25,/static/images/wines/demo-wine-026.png,https://www.demovinoteca.com.ar/productos/demo-wine-026,Cinnamon and licorice gumdrop and sketchy cherry cough drop aromas make up the nose on this cloying Cab that also shows hard tannins.,"blanco, fresco, premium",True
DEMO-WINE-027,Carlos Basso 2006 Dos Fincas Cabernet Sauvignon-Merlot (Uco Valley),Carlos,Cabernet Sauvignon-Merlot,2006,Uco Valley,9500,25,/static/images/wines/demo-wine-027.png,https://www.demovinoteca.com.ar/productos/demo-wine-027,"Blackberry and cassis aromas share the bouquet with tougher, more masculine notes of earth, rubber and char.","blanco, fresco",True
DEMO-WINE-028,Rutini 2012 Trumpeter Cabernet Sauvignon (Mendoza),Rutini,Cabernet Sauvignon,2012,Mendoza,22000,25,/static/images/wines/demo-wine-028.png,https://www.demovinoteca.com.ar/productos/demo-wine-028,"Gritty, roasted berry aromas are rubbery and hint at Band-Aids.","blanco, fresco",True
DEMO-WINE-029,San Felipe 2012 Oak Cask Estate Bottled Cabernet Sauvignon (Mendoza),San,Cabernet Sauvignon,2012,Mendoza,38000,25,/static/images/wines/demo-wine-029.png,https://www.demovinoteca.com.ar/productos/demo-wine-029,"Dry, spicy aromas aren't overly ripe or expressive.","blanco, fresco, premium",False
DEMO-WINE-030,Trapiche 2014 Oak Cask Cabernet Sauvignon (Mendoza),Trapiche,Cabernet Sauvignon,2014,Mendoza,9500,25,/static/images/wines/demo-wine-030.png,https://www.demovinoteca.com.ar/productos/demo-wine-030,Grassy stalky berry aromas lean towards green.,"blanco, fresco",True
DEMO-WINE-031,Casa Montes 2015 Ampakama Viognier (San Juan),Casa Montes,Viognier,2015,San Juan,22000,25,/static/images/wines/demo-wine-031.png,https://www.demovinoteca.com.ar/productos/demo-wine-031,"Briny, cidery aromas are a touch stale.","blanco, fresco",True
DEMO-WINE-032,Valentin Bianchi 2015 Sensual Malbec (Mendoza),Valentin,Malbec,2015,Mendoza,68000,25,/static/images/wines/demo-wine-032.png,https://www.demovinoteca.com.ar/productos/demo-wine-032,Lightly spicy raspberry aromas are raw and peppery.,"tinto, asado, premium",True
DEMO-WINE-033,Trapiche 2014 Oak Cask Malbec (Mendoza),Trapiche,Malbec,2014,Mendoza,14500,0,/static/images/wines/demo-wine-033.png,https://www.demovinoteca.com.ar/productos/demo-wine-033,Reedy green-leaning aromas of plum and raspberry feed into a creamy palate.,"tinto, asado",True
DEMO-WINE-034,Aniello 2015 006 Riverside Estate Merlot (Patagonia),Aniello,Merlot,2015,Patagonia,28000,25,/static/images/wines/demo-wine-034.png,https://www.demovinoteca.com.ar/productos/demo-wine-034,"Dry earthy herbal aromas of tomato, red-berry fruits and oak set up a full palate with pounding tannins.","tinto, asado",True
DEMO-WINE-035,Amalaya 2015 Esperanza Por Un Milagro White (Salta),Amalaya,White Blend,2015,Salta,68000,25,/static/images/wines/demo-wine-035.png,https://www.demovinoteca.com.ar/productos/demo-wine-035,Oily aromas of citrus peel and lychee set up a lemony palate with pyrazine-influenced citrus flavors.,"tinto, asado, premium",True
DEMO-WINE-036,Doña Silvina 2006 Malbec (Mendoza),Doña,Malbec,2006,Mendoza,14500,25,/static/images/wines/demo-wine-036.png,https://www.demovinoteca.com.ar/productos/demo-wine-036,"Opens with rooty, baked aromas before finding its legs and plenty of ripe, attractive berry fruit.","tinto, asado",True
DEMO-WINE-037,Finca Vides 2009 Torcidas Malbec (Mendoza),Finca Vides,Malbec,2009,Mendoza,28000,25,/static/images/wines/demo-wine-037.png,https://www.demovinoteca.com.ar/productos/demo-wine-037,"Solid and smooth from the beginning, with cola, pastry and blackberry aromas.","tinto, asado",True
DEMO-WINE-038,Los Vencejos 2010 Malbec (Uco Valley),Los,Malbec,2010,Uco Valley,68000,25,/static/images/wines/demo-wine-038.png,https://www.demovinoteca.com.ar/productos/demo-wine-038,"Floral hints, latex, vanilla, oak and ripe berry aromas all show up on a fine bouquet.","tinto, asado, premium",True
DEMO-WINE-039,San Felipe 2013 Oak Cask Estate Bottled Malbec (Mendoza),San,Malbec,2013,Mendoza,14500,25,/static/images/wines/demo-wine-039.png,https://www.demovinoteca.com.ar/productos/demo-wine-039,"Damp, foresty, stalky aromas are backed by a chunky, slightly sticky feeling palate.","tinto, asado",True
DEMO-WINE-040,Alamos 2013 Red (Mendoza),Alamos,Red Blend,2013,Mendoza,28000,25,/static/images/wines/demo-wine-040.png,https://www.demovinoteca.com.ar/productos/demo-wine-040,Aromas of blueberry and cinnamon smell odd and forced.,"tinto, asado",True
DEMO-WINE-041,Black Box 2013 Malbec (Mendoza),Black,Malbec,2013,Mendoza,68000,25,/static/images/wines/demo-wine-041.png,https://www.demovinoteca.com.ar/productos/demo-wine-041,"This is stalky, grassy and peppery smelling, with red-berry aromas.","tinto, asado, premium",True
DEMO-WINE-042,Piattelli 2005 Premium Malbec (Luján de Cuyo),Piattelli,Malbec,2005,Luján de Cuyo,14500,25,/static/images/wines/demo-wine-042.png,https://www.demovinoteca.com.ar/productos/demo-wine-042,"Black plum, cola and chocolate define this textbook Malbec.","tinto, asado",True
DEMO-WINE-043,Ricominciare 2010 Malbec-Tannat (Uco Valley),Ricominciare,Malbec-Tannat,2010,Uco Valley,28000,25,/static/images/wines/demo-wine-043.png,https://www.demovinoteca.com.ar/productos/demo-wine-043,Initial plum and berry aromas fall off with airing and reveal notes of chemical and chewing gum dust.,"tinto, asado",True
DEMO-WINE-044,Ricominciare 2011 Malbec-Cabernet Franc (Uco Valley),Ricominciare,Malbec-Cabernet Franc,2011,Uco Valley,68000,25,/static/images/wines/demo-wine-044.png,https://www.demovinoteca.com.ar/productos/demo-wine-044,"Aromas of latex, plastic, clove and wild berry fruits try to come together.","tinto, asado, premium",True
DEMO-WINE-045,Marchiori & Barraud 2007 Cuartel 2 Marchiori Vineyard Malbec (Perdriel),Marchiori,Malbec,2007,Perdriel,14500,25,/static/images/wines/demo-wine-045.png,https://www.demovinoteca.com.ar/productos/demo-wine-045,"Aggressive smelling early on but then it settles on classy raspberry, cassis and herbs.","tinto, asado",True
DEMO-WINE-046,Alpamanta 2009 Estate Malbec (Mendoza),Alpamanta,Malbec,2009,Mendoza,28000,25,/static/images/wines/demo-wine-046.png,https://www.demovinoteca.com.ar/productos/demo-wine-046,"There's no denying the fact that this smells stalky and burnt, with leathery fruit aromas.","tinto, asado",True
DEMO-WINE-047,Casarena 2011 Estate Bottled Malbec (Mendoza),Casarena,Malbec,2011,Mendoza,68000,25,/static/images/wines/demo-wine-047.png,https://www.demovinoteca.com.ar/productos/demo-wine-047,"This is exceedingly ripe tasting, with a syrupy texture.","tinto, asado, premium",True
DEMO-WINE-048,Valentin Bianchi 2010 Famiglia Bianchi Malbec (Mendoza),Valentin,Malbec,2010,Mendoza,14500,25,/static/images/wines/demo-wine-048.png,https://www.demovinoteca.com.ar/productos/demo-wine-048,"Pencil eraser, iodine, latex and blueberry aromas settle better than they start.","tinto, asado",True
DEMO-WINE-049,Domaine Bousquet 2016 Finca Lalande Malbec (Mendoza),Domaine,Malbec,2016,Mendoza,28000,25,/static/images/wines/demo-wine-049.png,https://www.demovinoteca.com.ar/productos/demo-wine-049,Racy plum and cherry aromas lead to an edgy palate with bold acidity.,"tinto, asado",True
DEMO-WINE-050,Terrazas de Los Andes 2013 Reserva Malbec (Mendoza),Terrazas,Malbec,2013,Mendoza,68000,25,/static/images/wines/demo-wine-050.png,https://www.demovinoteca.com.ar/productos/demo-wine-050,Strapping currant and berry aromas come with a full dosage of toasty oak.,"tinto, asado, premium",True
DEMO-WINE-051,Funky Llama 2007 Tempranillo (Mendoza),Funky,Tempranillo,2007,Mendoza,14500,25,/static/images/wines/demo-wine-051.png,https://www.demovinoteca.com.ar/productos/demo-wine-051,"Lightly brambled and ever so slightly green, with pleasant strawberry and raspberry aromas.","tinto, asado",True
DEMO-WINE-052,Riglos 2010 Gran Las Divas Vineyard Cabernet Franc (Tupungato),Riglos,Cabernet Franc,2010,Tupungato,28000,25,/static/images/wines/demo-wine-052.png,https://www.demovinoteca.com.ar/productos/demo-wine-052,Blackberry and cassis aromas blend seamlessly with varietal scents of herbs and leaves.,"tinto, asado",True
DEMO-WINE-053,O. Fournier 2007 Urban Uco Tempranillo (Uco Valley),O.,Tempranillo,2007,Uco Valley,68000,25,/static/images/wines/demo-wine-053.png,https://www.demovinoteca.com.ar/productos/demo-wine-053,"Sharp, minty aromas mixed with stemmy red fruit set up a modest, middleweight palate of semisweet, generic red fruit flavors.","tinto, asado, premium",True
DEMO-WINE-054,Doña Paula 2006 Los Cardos Syrah (Luján de Cuyo),Doña,Syrah,2006,Luján de Cuyo,14500,25,/static/images/wines/demo-wine-054.png,https://www.demovinoteca.com.ar/productos/demo-wine-054,Mildly smoky and toasty aromas lead to a lightly oaked palate that's largely defined by black cherry and some rich berry syrup.,"tinto, asado",True
DEMO-WINE-055,Ricominciare 2010 Altísimo Malbec (Mendoza),Ricominciare,Malbec,2010,Mendoza,28000,25,/static/images/wines/demo-wine-055.png,https://www.demovinoteca.com.ar/productos/demo-wine-055,"Cherry, cassis and root beer aromas are appealing.","tinto, asado",True
DEMO-WINE-056,Viña Cobos 2015 Felino Malbec (Mendoza),Viña Cobos,Malbec,2015,Mendoza,68000,25,/static/images/wines/demo-wine-056.png,https://www.demovinoteca.com.ar/productos/demo-wine-056,"Earthy black-fruit aromas set up a rubbery, heavy palate with plenty of oak and related resin.","tinto, asado, premium",True
DEMO-WINE-057,Recuerdo 2011 Malbec (Uco Valley),Recuerdo,Malbec,2011,Uco Valley,14500,25,/static/images/wines/demo-wine-057.png,https://www.demovinoteca.com.ar/productos/demo-wine-057,"Recuerdo is the house brand from the Vines of Mendoza project, which is relying on young Tupungato vineyards that expand annually.","tinto, asado",True
DEMO-WINE-058,Salentein 2005 Reserve Malbec (Uco Valley),Salentein,Malbec,2005,Uco Valley,28000,25,/static/images/wines/demo-wine-058.png,https://www.demovinoteca.com.ar/productos/demo-wine-058,"Earthy, deep and true to its Uco Valley roots; this is a very good and fairly serious Malbec that doesn't try to overstep its natural limitations.","tinto, asado",True
DEMO-WINE-059,Trivento 2005 Golden Reserve Malbec (Mendoza),Trivento,Malbec,2005,Mendoza,68000,25,/static/images/wines/demo-wine-059.png,https://www.demovinoteca.com.ar/productos/demo-wine-059,"An intense, forward style of Malbec.","tinto, asado, premium",True
